runtime,rating,votes,gross_earn,director_avg_earn,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
119.0,7.9,542947.0,121.66,74.17999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
105.0,7.6,524793.0,176.76,105.22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98.0,7.3,561351.0,250.69,116.38111111111112,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.0,7.7,566225.0,183.42,64.570625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
156.0,8.0,789582.0,183.64,47.84166666666667,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143.0,8.0,543114.0,57.37,47.26777777777777,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
145.0,7.7,546425.0,132.07,156.35148148148147,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106.0,8.5,830924.0,13.09,13.09,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
129.0,7.7,659664.0,128.26,72.74199999999999,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123.0,7.8,565310.0,81.0,60.220000000000006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
99.0,7.9,552379.0,13.54,23.6675,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
143.0,7.8,583916.0,233.63,135.72266666666667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
132.0,7.7,481956.0,228.78,336.84000000000003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
119.0,7.7,623578.0,42.34,47.84166666666667,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162.0,7.6,546973.0,107.51,155.80285714285716,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102.0,8.5,565253.0,1.02,11.666666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
115.0,7.1,535123.0,144.8,64.196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
124.0,7.0,519981.0,89.02,130.54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
